id_materias,nome,creditos,descricao
ESHR022-14,Abordagens Tradicionais das Relações Internacionais,4,"Contextualização histórica da emergência das teorias de relações internacionais. Matrizes filosóficas. Realismo. Idealismo. Debate clássico realismo versus idealismo. Escola inglesa. Behaviorismo. Debate metodológico. Neoliberalismo. Neorrealismo. Teoria da interdependência complexa. Neoinstitucionalismo. Cooperação e conflito. Sociedade internacional, anarquia. Regimes internacionais."
ESZM035-17,Aditivação de Polímeros,4,"Tipos de aditivos e métodos para obtenção de formulação polimérica. Degradação e estabilização de polímeros. Plastificantes, lubrificantes, antiestáticos, retardantes de chama, colorantes, agentes nucleantes, clarificantes e espumantes. Cargas. Mecanismos de atuação dos aditivos."
ESZP041-14,Administração Pública e Reforma do Estado em Perspectiva Comparada,4,"Estado, política e administração pública; Crise e reforma do Estado: as diversas respostas; A Nova Gestão Pública; Formas de responsabilização e accountability da administração pública; A experiência internacional da reforma do Estado; As experiências brasileiras da reforma do Estado; A agenda atual."
ESTS016-17,Aerodinâmica I,4,"Força de Sustenção e arrasto; Teoria do perfil delgado; Condição de Kutta-Jukowiski; Método da superposição de singularidades (fontes, sorvedouros, dipolos e vórtices); Transformação conforme; Solução numérica: método dos painéis. Teoria dos perfis NACA. Esteira, descolamento de camada limite e efeitos da turbulência. Introdução à teoria de asas tridimensionais, via teoria da linha de sustentação."
ESZS019-17,Aerodinâmica II,4,Física do escoamento subsônico e hipersônico. Equações de governo do escoamento no contexto da teoria do potencial e sua linearização. Método da linha de sustentação. Método da superfície de sustentação. Técnicas de análise de escoamento hipersônico.
ESTS012-17,Aeroelasticidade,4,Comportamento aeroelástico de veículos aeroespaciais e outras estruturas. Elasticidade estática e seu impacto no desempenho de superfícies de sustentação. Conceitos fundamentais de aerodinâmica não estacionaria e técnicas computacionais modernas. Aeroelasticidade dinâmica (flutter) de uma seção típica e de uma asa de um veículo aeroespacial.
ESTS002-17,Aeronáutica I-A,4,"Conhecimentos técnicos sobre aviões: Anatomia do avião, sistemas e instrumentos de voo; princípios de operação do grupo moto propulsor; limitações e informações operacionais. Teoria de voo: Princípios de voo de aviões; introdução à aerodinâmica; noções de desempenho e limitações humanas. Dispositivos de comandos de voo; fases de voos; estabilidade do voo."
ESZS001-17,Aeronáutica I-B,4,"Conhecimentos técnicos sobre helicópteros: anatomia do helicóptero, sistemas e instrumentos de voo; princípios de operação do grupo moto propulsor; limitações e informações operacionais. Teoria de voo: Princípios de voo de aeronaves de asas rotativas; introdução à aerodinâmica de helicópteros."
ESZS002-17,Aeronáutica II,4,Regulamentação aeronáutica: regras do ar; regras de voo visual; serviços de tráfego aéreo; fraseologia. Meteorologia: introdução à meteorologia; meteorologia aeronáutica; informações meteorológicas. Navegação aérea: aspectos práticos da navegação aérea e técnicas de navegação estimada; utilização de cartas aeronáuticas. Planejamento de voo e procedimentos operacionais: utilização dos sites de Consulta de Informações Aeronáuticas (AIS WEB) e da Rede de Meteorologia do Comando da Aeronáutica (REDEMET).
MCTB001-17,Álgebra Linear,6,Sistemas de Equações Lineares: Sistemas e matrizes. Matrizes escalonadas. Sistemas homogêneos. Posto e Nulidade de uma matriz. Determinantes. Espaço Vetorial: Definição e exemplos. Subespaços vetoriais. Combinação linear. Dependência e independência linear. Base de um espaço vetorial e mudança de base. Produto interno. Transformações Lineares: Definição de transformação linear e exemplos. Núcleo e imagem de uma transformação linear. Transformações lineares e matrizes. Matriz mudança de base. Autovalores e Autovetores: Polinômio característico. Base de autovetores. Diagonalização de operadores.
MCTB002-13,Álgebra Linear Avançada I,4,Corpos. Espaço Vetorial sobre um corpo. Base e dimensão. Espaços Quocientes. Funcionais Lineares. Espaços Duais. Complexificação. Transformações Lineares. Espaços Invariantes. Polinômios (Anéis de Polinômios). Forma de Jordan Complexa e Real. Forma Canônica Racional.
MCTB003-17,Álgebra Linear Avançada II,4,"Formas Bilineares e Sesquilineares: Formas Ortogonais, Hermitianas e Simpléticas; Teorema de Classificação das Formas Ortogonais, Hermitianas e Simpléticas. Espaços com produto interno e Hermitiano. Grupos Clássicos. Álgebra Multilinear: Aplicações Multilineares, Produto Tensorial, Isomorfismos Canônicos, Tensores Simétricos e Antissimétricos. Álgebra Exterior."
MCTD022-18,Álgebra na Educação Básica,2,"Introdução à teoria de grupos. Grupos de permutação e suas relações com a Geometria. Aplicações de grupos na Educação Básica. Aplicações de Anéis na Educação Básica. Aplicações de Anéis de Polinômios na Educação Básica. Discutir em cada momento, a importância de aprender esses conteúdos para a formação do professor de matemática. Relacionar esses conteúdos com os conteúdos da escola básica. Em especial, discutir, o conjunto dos números racionais, o conjunto dos reais, dos Complexos, Polinômios (Equações e funções). Fazer conexões entre a álgebra, aritmética e geometria."
MCTA001-17,Algoritmos e Estruturas de Dados I,4,Breve introdução à linguagem C. Noções básicas de análise de complexidade de tempo de algoritmos. Estruturas lineares: busca e ordenação. Árvores de busca. Árvores balanceadas.
MCTA002-17,Algoritmos e Estruturas de Dados II,4,Hashing. Introdução a arquivos. Arquivos sequenciais. Arquivos indexados. Arquivos de acesso direto. Prática de programação dos arquivos e das funções primitivas na resolução de problemas. Compressão de arquivos.
MCZA035-17,Algoritmos Probabilísticos,4,Revisão de probabilidade discreta. Exemplos de algoritmos aleatorizados: Algoritmo para Identidade polinomial; Sigilo perfeito; MAX 3-SAT. Leis de desvios e aplicações em algoritmos e estruturas de dados: hashing universal; treaps. Modelos de computação e classes probabilísticas de complexidade. Aplicações de Cadeias de Markov. Passeios aleatórios em grafos. Algoritmos distribuídos probabilísticos.
MCZB001-13,Análise Complexa,4,"Integração no Plano Complexo: homotopia e integração. Funções harmônicas no plano. Os espaços de funções holomorfas e meromorfas. Produtos infinitos e o teorema de Weierstrass. As funções Gama e Zeta, aproximação de funções analíticas por funções racionais. A esfera de Riemann. Equivalências conformes. Automorfismos dos números complexos e do disco unitário. Teorema da Uniformização de Riemann, aplicações conformes."
ESHR001-13,Análise da Conjuntura Internacional Contemporânea,4,"Proporcionar uma visão analítica da formulação e da tomada de decisão em política externa de forma a conhecer e interpretar as relações internacionais contemporâneas e seus desdobramentos. Analisar cenários de relações internacionais de uma perspectiva integrada. Identificação dos processos decisórios em relações internacionais a partir de estudos de caso da conjuntura internacional. Identificação dos atores nacionais e internacionais. Interpretação a partir das principais escolas e teorias de análise. Agências governamentais, papel dos atores não governamentais, mecanismos dos lobbies e dos poderes legislativos. Avaliação analítica da escala de objetivos – permanentes, padrões e preferências políticas. Desafios da inserção internacional do Brasil."
ESZT001-17,Análise da Produção do Espaço e Políticas Públicas Urbanas,4,"Processo de produção do espaço como produto e condição da reprodução social. Instrumentos diagnósticos e referenciais para elaboração e implantação de políticas públicas. O espaço como produto e condição da reprodução social. O espaço urbano contemporâneo: segregação, fragmentação e hierarquização. As especificidades do espaço urbano em países periféricos: a segregação como parte do processo de produção do urbano. Políticas públicas urbanas: seus impasses e limites na superação de um espaço urbano periférico."
MCTA003-17,Análise de Algoritmos,4,"Conceitos básicos: recorrências, medidas de complexidade: melhor caso, caso médio e pior caso. Técnicas gerais de projeto de algoritmos: divisão e conquista, método guloso e programação dinâmica. Classes de complexidade: P, NP e NP-completude."
